序号,年龄,年级,专业,性别,家庭所在地,家庭经济情况,学习成绩,对待体育活动的态度,认知,人际,情感,公正,节制,超越,积极心理品质得分,剧烈运动天数,剧烈运动单日分钟数,每周剧烈MET,适度运动天数,适度运动单日分钟数,每周适度MET,步行天数,步行单日分钟数,每周步行MET,总MET,总天数,"运动强度
1轻2中3强",工作日久坐分钟数,IPAQ_8,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62
58,20,19,工,2,2,1,3,2,1.83,2.3,2.36,2.0,2.3,1.8,2.29,0,0,0,1,30,120,6,30,594,714.0,7,2,900,爬楼梯,3,3,2,1,2,1,2,2,2,2,1,1,1,2,4,2,3,4,2,2,3,3,2,2,2,3,5,3,2,1,4,2,3,3,2,2,2,1,3,2,1,2,3,2,4,3,2,2,4,2,2,2,2,3,2,2,2,3,3,1,1,2
59,19,大二,工,1,1,3,3,2,2.5,2.2,2.27,2.11,2.4,2.5,2.63,3,30,720,3,30,360,7,60,1386,2466.0,13,2,300,散步,4,3,3,2,2,2,3,2,3,3,2,2,3,3,3,3,3,2,3,3,3,3,2,3,2,2,3,2,2,2,3,2,2,3,3,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,3,2,3,3,2,3,3,3,2
60,18,大一,工,1,1,3,3,2,2.0,2.1,2.45,2.11,2.1,2.0,2.34,4,20,640,7,30,840,4,30,396,1876.0,15,2,480,跑步,3,2,2,2,3,2,2,2,2,2,2,2,2,3,2,4,2,2,2,2,2,2,2,3,2,3,2,4,4,2,2,2,3,3,2,2,3,2,2,2,2,2,2,2,2,2,4,2,2,2,2,2,3,2,2,2,2,5,2,2,3,2
61,19,2021,工,1,1,4,3,2,0.92,0.9,0.91,0.89,0.9,0.9,1.0,7,30,1680,7,30,840,0,0,0,2520.0,14,3,480,躺平,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
62,18,21,工,1,2,3,3,2,2.17,2.2,2.55,2.44,2.2,1.9,2.48,3,20,480,7,30,840,7,30,693,2013.0,17,2,480,跑步，乒乓球,4,2,2,2,1,2,2,2,2,3,3,2,2,2,3,4,3,2,4,1,2,2,2,2,2,4,3,3,3,3,1,2,3,4,4,2,3,2,2,2,2,2,2,2,2,3,4,3,1,3,2,2,3,3,2,2,2,4,3,3,3,2
63,19,大一,工,1,1,4,3,1,1.67,2.1,1.82,1.89,2.5,1.7,2.26,0,0,0,5,30,600,5,30,495,1095.0,10,2,480,乒乓球足球,5,2,2,2,2,2,2,3,3,5,2,2,2,1,3,1,3,3,1,2,5,2,2,2,2,2,3,3,2,1,2,1,2,5,2,3,3,2,2,2,1,1,3,1,3,3,2,3,3,2,2,1,2,4,2,3,3,1,1,1,1,1
65,18,大一,工,1,1,3,3,2,1.83,1.5,1.64,1.44,1.5,1.5,1.82,3,50,1200,1,50,200,7,120,2772,4172.0,11,3,480,跑步,4,1,2,1,1,3,2,2,2,2,2,2,3,2,1,1,3,1,2,2,2,2,2,2,2,2,1,1,3,2,2,1,2,2,2,1,2,1,2,1,1,1,2,1,1,3,3,2,2,3,1,1,2,2,2,2,1,1,2,2,2,2
66,18,大一,工,1,1,4,1,2,2.5,2.5,2.73,3.67,2.7,2.8,3.18,4,30,960,0,0,0,7,30,693,1653.0,11,2,120,跑步,5,2,3,1,2,2,3,2,5,5,2,3,4,1,2,2,3,5,5,1,4,3,2,2,3,5,3,3,3,3,2,2,5,4,4,2,4,2,3,2,3,3,3,3,2,4,5,5,5,5,4,3,2,4,4,1,3,3,4,5,5,2
67,18,2021,工,1,1,3,3,2,2.58,2.2,2.09,2.33,2.0,2.0,2.47,3,70,1680,3,30,360,7,30,693,2733.0,13,3,480,跑步,4,3,3,2,2,3,3,2,3,2,2,2,2,3,3,2,2,2,3,3,3,3,2,3,2,4,2,2,3,2,3,2,2,3,2,2,2,3,2,2,4,2,5,3,3,3,3,3,1,2,2,2,1,2,2,2,2,3,2,2,2,2
68,18,2020,工,1,2,2,3,2,1.75,1.5,1.27,1.78,2.5,1.7,1.97,0,0,0,7,30,840,7,30,693,1533.0,14,2,600,步行，跑步,4,2,2,1,1,2,1,2,3,1,1,1,2,2,2,1,1,3,2,4,4,2,2,2,2,2,2,4,2,2,2,1,2,3,2,2,2,2,3,2,2,2,2,2,1,1,2,3,1,2,1,3,2,2,2,2,2,2,1,1,1,2
69,17,大一,工,1,1,3,3,2,2.33,2.2,1.55,1.89,2.2,1.9,2.24,0,0,0,0,0,0,7,50,1155,1155.0,7,2,480,篮球,2,2,3,2,2,4,3,3,2,2,1,1,2,2,2,1,2,3,2,1,4,2,2,2,2,3,3,4,4,3,1,2,3,2,2,2,2,2,2,2,2,2,1,4,2,2,1,3,3,3,2,3,2,1,2,2,2,2,2,3,2,2
70,18,大一,法,2,2,3,3,2,2.33,2.5,2.18,2.11,2.4,2.5,2.63,3,30,720,7,30,840,6,30,594,2154.0,16,2,420,骑自行车，跑步,2,3,4,2,2,2,3,2,4,3,1,1,3,2,4,4,3,3,3,3,2,2,1,3,3,4,3,4,2,2,3,3,4,4,3,4,2,1,3,4,5,2,3,3,2,3,4,3,2,3,1,2,1,3,1,1,2,2,2,2,2,3
72,17,1,法,1,2,2,1,3,0.92,0.9,0.91,0.89,0.9,1.3,1.06,0,0,0,0,0,0,6,30,594,594.0,6,1,480,步行,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1,1,1,1,1,1,1,1,1,1,1,1,1
73,17,大一,工,1,1,3,4,2,1.83,2.1,1.82,1.78,2.0,1.8,2.16,2,20,320,0,0,0,0,0,0,320.0,2,1,480,跑步学习,4,2,4,2,2,2,2,2,3,2,2,2,2,2,4,2,2,2,2,2,4,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
75,18,大一,法,1,2,2,3,2,2.25,2.6,1.55,2.67,2.1,1.8,2.37,3,30,720,5,30,600,7,30,693,2013.0,15,2,480,跑步,3,2,3,2,4,2,3,2,3,1,1,2,2,2,3,2,3,5,4,2,2,3,2,2,3,4,2,3,4,2,3,2,1,2,3,2,1,1,3,2,3,2,3,3,2,3,3,3,2,3,3,2,1,2,2,1,2,1,1,1,2,4
