序号,年龄,年级,专业,性别,家庭所在地,家庭经济情况,学习成绩,对待体育活动的态度,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,IPAQ_1,IPAQ_2,IPAQ_3,IPAQ_4,IPAQ_5,IPAQ_6,IPAQ_7,运动项目,剧烈运动天数,剧烈运动单日分钟数,适度运动天数,适度运动单日分钟数,步行天数,步行单日分钟数,工作日久坐分钟数,认知,人际,情感,公正,节制,超越,积极心理品质得分,剧烈运动一周分钟数,适度运动一周分钟数,步行一周分钟数,剧烈运动MET,适度运动MET,步行MET,总MET,身体活动水平
69,17,大一,工程与能源,1,1,3,3,2,2,2,3,2,2,4,3,3,2,2,1,1,2,2,2,1,2,3,2,1,4,2,2,2,2,3,3,4,4,3,1,2,3,2,2,2,2,2,2,2,2,2,1,4,2,2,1,3,3,3,2,3,2,1,2,2,2,2,2,3,2,2,2,-2,2,-2,1,1,2,篮球,0.0,0.0,0.0,0.0,7.0,50.0,,2.5,2.5,1.73,2.11,2.5,2.1,2.24,0.0,0.0,350.0,0.0,0.0,1155.0,1155.0,2
72,17,1,法律与新闻,1,2,2,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1,1,1,1,1,1,1,1,1,1,1,1,1,2,-2,1,1,1,1,2,步行,0.0,0.0,0.0,0.0,6.0,30.0,,1.0,1.0,1.0,1.0,1.0,1.4,1.06,0.0,0.0,180.0,0.0,0.0,594.0,594.0,2
73,17,大一,工程与能源类,1,1,3,4,2,4,2,4,2,2,2,2,2,3,2,2,2,2,2,4,2,2,2,2,2,4,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,跑步学习,2.0,20.0,0.0,0.0,0.0,,,2.17,2.5,2.0,2.11,2.2,2.0,2.16,40.0,0.0,,320.0,0.0,,,1
78,19,大一,工程能源大类,1,2,3,3,1,3,2,1,1,1,2,2,2,2,2,2,2,2,1,2,3,3,2,3,2,4,1,1,1,2,3,1,1,3,1,1,1,1,4,1,1,2,2,1,1,1,1,2,1,1,1,3,1,1,1,2,1,1,1,1,4,3,1,3,1,2,1,1,1,1,1,1,1,1,跑步，打篮球,3.0,60.0,5.0,0.0,7.0,,600.0,1.5,1.4,1.91,2.33,2.0,1.3,1.73,180.0,0.0,,1440.0,0.0,,,2
79,19,2021级,工程与能源大类,1,2,3,2,2,4,1,3,1,1,2,2,2,2,5,2,2,2,4,2,3,4,2,2,1,1,2,2,2,2,2,1,1,2,1,2,2,2,1,3,2,4,3,2,2,3,2,2,2,1,2,4,2,3,4,2,2,2,2,1,1,2,3,3,4,4,2,1,1,1,1,1,1,1,跑步,4.0,20.0,7.0,15.0,7.0,10.0,540.0,2.42,1.8,2.82,2.22,1.6,2.5,2.24,80.0,105.0,70.0,640.0,420.0,231.0,1291.0,2
82,17,2021,工程与能源,1,1,4,3,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,篮球跑步,0.0,0.0,0.0,0.0,0.0,,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,,0.0,0.0,,,1
83,18,2021,工程与能源类,1,2,3,3,2,5,5,4,2,3,5,3,3,3,2,2,2,3,4,4,4,3,2,5,3,5,3,3,4,4,5,2,3,4,4,5,3,3,4,5,3,3,3,3,3,4,2,3,5,5,4,5,3,2,4,2,2,3,3,2,2,3,4,3,5,5,3,1,1,1,1,1,1,1,跑步,1.0,30.0,5.0,10.0,2.0,10.0,950.0,4.17,3.3,3.27,3.33,3.0,3.4,3.44,30.0,50.0,20.0,240.0,200.0,66.0,506.0,1
84,18,2021,法学与新闻,2,2,3,3,2,3,4,4,1,2,2,4,2,2,3,1,1,2,1,3,2,3,2,3,2,4,4,3,3,3,4,1,3,4,2,4,3,1,4,4,4,3,2,3,2,4,2,3,4,3,3,3,3,2,4,2,2,1,1,2,1,2,2,2,3,3,3,1,1,2,-2,1,1,1,跑步,2.0,20.0,0.0,0.0,7.0,120.0,720.0,3.08,2.7,2.27,2.44,2.5,2.7,2.63,40.0,0.0,840.0,320.0,0.0,2772.0,3092.0,3
85,18,大一,电气与信息,1,2,3,2,1,4,2,2,3,3,3,2,3,3,3,2,1,1,1,4,4,2,3,4,2,2,2,1,2,3,4,4,2,2,1,4,3,3,4,2,3,3,2,3,2,3,2,4,2,3,3,4,4,3,2,2,2,4,3,2,4,3,3,3,2,2,2,2,-2,1,1,1,1,1,慢跑,0.0,0.0,5.0,30.0,7.0,40.0,480.0,2.17,3.1,2.82,3.0,2.7,2.4,2.68,0.0,150.0,280.0,0.0,600.0,924.0,1524.0,2
87,18,大一,工程与能源大类,1,1,4,3,2,4,3,3,1,1,3,3,4,4,4,1,1,4,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,-2,2,-2,2,-2,2,没有,0.0,0.0,0.0,0.0,0.0,,,3.0,2.3,2.64,3.11,3.1,3.1,2.87,0.0,0.0,,0.0,0.0,,,1
91,18,大一,法新大类,2,2,3,2,2,4,4,2,1,2,3,4,2,2,1,1,1,3,3,4,1,1,3,2,2,3,2,2,2,3,2,2,2,2,1,2,1,1,3,2,2,1,1,4,2,2,1,3,3,1,1,2,5,1,3,3,3,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,跑步,3.0,30.0,2.0,30.0,7.0,30.0,240.0,2.83,2.3,1.09,1.89,2.3,1.7,2.03,90.0,60.0,210.0,720.0,240.0,693.0,1653.0,3
92,18,大一,工程与能源类,1,2,3,3,2,5,2,3,2,3,2,2,2,3,3,1,1,2,2,3,4,3,4,2,1,3,3,2,4,2,2,5,4,3,5,2,2,3,5,5,3,2,1,2,2,2,1,2,4,2,3,3,4,5,4,2,2,1,4,2,4,3,1,3,2,2,4,2,-2,1,1,1,1,2,打羽毛球 走路,0.0,0.0,3.0,30.0,5.0,30.0,,3.25,3.0,2.27,2.44,3.1,2.3,2.74,0.0,90.0,150.0,0.0,360.0,495.0,855.0,2
98,19,2021,工程与能源,1,2,3,3,2,3,3,4,1,2,1,3,1,1,1,1,1,1,1,3,3,3,2,4,2,1,2,1,2,2,4,2,2,2,2,2,1,1,1,2,1,2,2,2,2,2,2,2,2,2,2,4,3,2,2,1,1,1,1,1,1,1,5,1,3,3,1,1,1,1,1,1,1,1,跑步,4.0,30.0,4.0,30.0,4.0,30.0,720.0,2.0,2.2,2.0,2.22,1.3,1.9,1.94,120.0,120.0,120.0,960.0,480.0,396.0,1836.0,3
100,18,大一,工程与能源,2,2,3,3,1,4,2,2,2,2,2,2,2,2,2,1,1,3,2,3,2,3,2,3,2,2,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,慢跑,4.0,35.0,4.0,20.0,7.0,80.0,300.0,2.17,2.1,1.91,2.11,2.1,2.3,2.11,140.0,80.0,560.0,1120.0,320.0,1848.0,3288.0,3
101,18,大一,工程与能源类,1,2,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,1,1,1,1,1,1,跑步,2.0,30.0,7.0,20.0,7.0,30.0,600.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,60.0,140.0,210.0,480.0,560.0,693.0,1733.0,2
103,19,大二,自动化,1,2,3,2,1,4,1,2,1,1,2,1,1,1,1,2,3,2,2,1,2,3,1,2,2,2,1,1,1,2,2,2,2,3,1,2,1,2,3,2,1,1,2,1,1,1,1,1,2,1,2,3,1,1,2,1,2,1,3,2,1,1,3,2,1,2,2,1,1,1,1,1,1,1,健腹轮、哑铃、俯卧撑、仰卧起坐、慢跑,3.0,20.0,7.0,20.0,7.0,30.0,480.0,1.67,1.6,2.0,1.67,1.8,1.3,1.68,60.0,140.0,210.0,480.0,560.0,693.0,1733.0,3
