序号,年龄,年级,专业,性别,家庭所在地,家庭经济情况,学习成绩,对待体育活动的态度,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,IPAQ_1,IPAQ_2,IPAQ_3,IPAQ_4,IPAQ_5,IPAQ_6,IPAQ_7,运动项目,剧烈运动天数,剧烈运动单日分钟数,适度运动天数,适度运动单日分钟数,步行天数,步行单日分钟数,工作日久坐分钟数,认知,人际,情感,公正,节制,超越,积极心理品质得分,剧烈运动一周分钟数,适度运动一周分钟数,步行一周分钟数,剧烈运动MET,适度运动MET,步行MET,总MET,身体活动水平
240,18,大一,环化与健康,1,2,2,2,3,5,3,3,1,1,2,4,3,3,1,2,1,1,1,3,3,1,1,3,1,3,3,1,1,1,5,1,1,3,3,3,3,2,5,3,2,1,1,3,2,1,1,3,5,3,3,5,3,1,2,1,3,1,1,3,1,3,1,3,1,3,3,1,1,1,1,1,1,1,打wota艺,3.0,15.0,4.0,60.0,7.0,20.0,240.0,2.75,2.2,1.91,2.78,2.4,1.6,2.27,45.0,240.0,140.0,360.0,960.0,462.0,1782.0,3
244,18,大一,工程与能源,1,1,3,3,2,5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,2,3,3,5,3,4,3,2,4,3,3,3,2,2,4,3,3,3,3,3,4,4,3,3,3,3,4,2,3,3,3,2,2,3,2,3,3,4,3,4,3,3,2,-2,1,1,1,1,1,跑步,0.0,0.0,5.0,0.0,0.0,,180.0,3.42,3.0,3.0,3.22,2.7,3.1,3.08,0.0,0.0,,0.0,0.0,,,1
246,17,21级,法学与新闻类,2,2,3,3,2,2,2,3,1,2,1,2,2,2,2,1,1,1,1,2,2,2,2,2,1,2,2,1,2,1,3,2,3,2,2,3,2,2,3,3,2,2,1,2,2,3,3,3,3,2,2,2,2,2,2,1,1,1,2,1,2,1,1,1,2,3,2,1,1,1,1,1,1,2,跑步,3.0,20.0,5.0,60.0,7.0,180.0,,2.0,1.9,1.73,1.67,2.2,1.9,1.9,60.0,300.0,1260.0,480.0,1200.0,4158.0,5838.0,3
248,18,2021级,法新,2,1,4,3,2,3,2,3,2,2,2,3,1,1,2,2,3,3,2,3,2,3,2,3,1,3,1,1,1,2,3,2,1,2,1,3,3,2,4,3,3,2,2,2,2,3,1,1,3,2,2,4,2,1,4,2,2,1,1,2,2,2,4,2,3,3,3,1,1,1,1,1,1,1,爬楼，跑步,2.0,12.0,7.0,10.0,7.0,30.0,600.0,2.17,2.3,2.45,2.33,2.0,2.1,2.23,24.0,70.0,210.0,192.0,280.0,693.0,1165.0,2
249,20,2019级,生物工程,1,1,3,3,1,3,2,3,2,2,1,2,2,3,2,2,2,2,2,3,2,2,2,1,2,3,2,1,2,2,2,4,3,2,2,2,2,1,2,2,2,2,2,3,3,3,2,2,2,2,2,3,4,2,2,2,3,2,2,2,2,2,2,2,3,3,2,1,1,1,1,1,1,1,跑步，俯卧撑,3.0,40.0,4.0,60.0,7.0,180.0,240.0,1.92,2.6,1.91,2.11,2.4,2.4,2.21,120.0,240.0,1260.0,960.0,960.0,4158.0,6078.0,3
250,19,2021级,环境,1,1,3,3,1,3,3,3,3,3,3,3,3,3,3,3,3,3,1,3,3,3,3,3,3,3,3,3,3,3,4,4,1,1,1,1,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,1,1,1,3,1,1,1,1,1,1,1,拳击,4.0,60.0,7.0,30.0,7.0,30.0,360.0,2.67,2.7,2.27,3.11,2.8,2.6,2.68,240.0,210.0,210.0,1920.0,840.0,693.0,3453.0,3
251,19,2021,环境类,2,2,3,3,2,3,3,3,1,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,1,3,3,1,2,2,3,3,3,2,2,4,1,2,3,3,3,3,1,3,3,3,3,3,4,2,2,2,4,3,4,3,2,2,4,3,2,2,2,2,3,3,4,1,1,1,1,1,1,2,跑步、跳舞、练旗,6.0,60.0,7.0,30.0,7.0,30.0,,2.58,2.3,2.45,2.44,2.9,2.6,2.55,360.0,210.0,210.0,2880.0,840.0,693.0,4413.0,3
254,18,2021,工程与能源类,2,1,3,2,1,4,1,3,2,2,1,3,4,2,2,2,2,1,1,1,3,2,4,4,2,2,2,1,2,2,3,3,2,1,1,3,2,1,2,3,2,2,2,1,2,2,2,1,2,2,4,4,2,1,3,2,1,2,1,2,1,1,2,1,3,3,1,1,1,1,1,1,1,2,跑步,1.0,25.0,5.0,15.0,7.0,60.0,,1.92,2.2,2.0,2.67,1.7,2.0,2.06,25.0,75.0,420.0,200.0,300.0,1386.0,1886.0,2
255,18,2021,工程与能源,2,2,3,3,2,5,2,2,2,3,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,-2,2,-2,2,-2,2,跑步,0.0,0.0,0.0,0.0,0.0,,,2.92,2.8,3.0,3.0,3.0,3.0,2.95,0.0,0.0,,0.0,0.0,,,1
260,18,大一,数学与物理类,1,2,3,3,1,2,1,2,1,1,2,1,2,2,3,1,2,2,1,2,2,3,1,2,1,2,1,1,1,1,2,2,2,2,1,2,1,2,3,1,1,3,2,1,1,1,2,2,1,1,2,2,2,2,2,2,1,2,3,2,2,1,1,3,3,1,2,1,1,1,1,1,1,1,足球，跑步,3.0,20.0,7.0,30.0,7.0,40.0,400.0,1.33,1.6,2.09,1.78,2.0,1.5,1.71,60.0,210.0,280.0,480.0,840.0,924.0,2244.0,3
263,18,大一,法学与新闻,2,2,3,2,2,4,2,2,1,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,4,3,3,3,2,4,2,2,2,3,4,2,2,3,2,2,2,2,3,3,3,2,3,3,2,2,4,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,慢跑,2.0,20.0,4.0,20.0,7.0,60.0,270.0,2.58,2.0,2.18,2.44,2.5,2.3,2.34,40.0,80.0,420.0,320.0,320.0,1386.0,2026.0,2
265,19,2021,工能,1,1,3,3,3,4,2,2,2,3,4,2,2,2,2,2,2,2,4,4,2,2,2,2,2,4,4,2,2,2,4,2,2,2,4,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,2,跑步,3.0,20.0,4.0,20.0,7.0,30.0,,2.67,2.3,2.18,2.22,2.2,2.2,2.31,60.0,80.0,210.0,480.0,320.0,693.0,1493.0,2
266,19,21级,法学与新闻,2,2,3,3,2,3,2,2,1,2,1,2,1,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,3,1,1,1,1,2,3,3,2,2,2,1,1,3,3,1,2,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,1,1,1,1,1,1,1,慢跑,0.0,0.0,0.0,0.0,0.0,,,1.67,1.5,1.45,1.56,2.1,1.7,1.66,0.0,0.0,,0.0,0.0,,,1
267,18,2021级,工程与能源,1,1,3,3,2,4,3,2,2,3,3,2,2,3,3,1,2,1,1,3,1,2,2,3,1,2,3,2,3,3,3,3,3,3,3,3,2,3,3,3,2,3,2,3,3,2,3,3,3,3,2,3,3,4,2,2,2,1,3,2,2,3,3,3,3,3,3,1,1,1,1,1,1,1,跑步和热身锻炼,2.0,30.0,3.0,60.0,7.0,100.0,600.0,2.67,2.6,2.45,2.56,2.6,2.3,2.53,60.0,180.0,700.0,480.0,720.0,2310.0,3510.0,3
269,18,大一,工程与能源,2,1,3,2,2,5,2,2,1,1,1,1,2,2,1,1,1,2,1,2,2,2,3,2,1,1,2,1,2,2,1,3,3,2,2,3,3,2,3,2,2,1,1,3,2,2,3,3,3,1,2,2,3,1,1,2,3,1,3,2,3,2,1,1,1,1,3,2,-2,1,1,1,1,2,走路,0.0,0.0,2.0,40.0,7.0,60.0,,2.0,2.1,1.45,1.89,2.7,1.5,1.94,0.0,80.0,420.0,0.0,320.0,1386.0,1706.0,2
272,19,大一,环化与健康类,1,2,3,3,1,3,3,2,3,3,3,3,1,3,3,1,1,2,2,5,2,3,3,3,3,1,2,2,3,2,2,3,3,3,3,2,3,2,1,3,1,3,1,1,2,1,2,3,3,2,3,3,2,2,3,3,3,2,2,2,2,2,2,3,1,1,3,1,1,1,1,1,1,1,跑步，羽毛球,6.0,30.0,7.0,10.0,7.0,30.0,240.0,2.83,2.9,2.18,2.44,1.9,1.7,2.34,180.0,70.0,210.0,1440.0,280.0,693.0,2413.0,3
275,18,大一,工程能源,1,2,3,3,2,4,1,4,1,2,3,3,1,3,2,1,1,3,2,2,4,2,2,3,1,3,1,1,1,1,4,2,1,2,1,4,2,1,1,1,1,1,1,2,2,4,1,3,1,4,3,4,3,3,1,1,3,1,3,1,4,3,1,1,2,2,1,1,1,1,1,1,1,1,长跑,2.0,40.0,1.0,60.0,7.0,120.0,300.0,1.83,2.2,2.0,2.44,2.0,2.0,2.06,80.0,60.0,840.0,640.0,240.0,2772.0,3652.0,3
278,20,2020,建筑工程,1,2,2,3,2,5,2,2,1,2,1,2,1,1,1,1,2,2,2,3,2,1,1,2,1,5,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,吃饭睡觉打游戏,1.0,15.0,7.0,10.0,7.0,30.0,420.0,2.17,2.0,1.73,1.78,2.2,2.0,1.98,15.0,70.0,210.0,120.0,280.0,693.0,1093.0,2
282,18,2021级,工程与能源大类,2,2,2,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,5,1,1,2,1,1,1,1,1,1,1,1,1,3,1,1,5,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,2,1,1,1,1,1,3,1,1,1,2,1,1,1,1,1,1,1,跑步,3.0,20.0,7.0,40.0,7.0,60.0,550.0,1.17,1.1,1.45,1.44,1.7,1.0,1.31,60.0,280.0,420.0,480.0,1120.0,1386.0,2986.0,3
283,19,大一,环化与健康类,2,1,3,3,1,2,3,2,1,1,2,3,2,1,2,2,2,3,4,2,2,2,1,2,2,3,2,3,1,1,2,1,1,2,1,2,1,2,4,4,1,1,1,2,2,2,1,2,3,1,1,2,2,2,3,1,2,1,1,1,1,1,3,2,3,2,2,2,-2,1,1,1,1,2,跑步,0.0,0.0,7.0,40.0,7.0,60.0,,2.58,1.4,1.91,1.33,1.9,2.0,1.89,0.0,280.0,420.0,0.0,1120.0,1386.0,2506.0,2
284,19,大二,英语,1,2,3,2,1,3,2,2,2,2,2,2,3,2,1,1,1,3,1,1,1,2,2,2,1,1,2,3,2,2,2,3,2,3,2,2,2,2,2,3,1,1,1,1,1,3,2,2,2,2,2,2,2,3,3,2,2,1,3,3,4,3,1,1,2,2,2,1,1,1,1,1,1,1,跑步，打羽毛球，俯卧撑,3.0,30.0,7.0,10.0,7.0,60.0,720.0,2.25,2.1,1.36,2.11,2.2,1.9,1.98,90.0,70.0,420.0,720.0,280.0,1386.0,2386.0,3
285,19,2021,工程与能源大类,1,1,4,3,3,4,3,2,2,3,4,3,3,2,3,2,4,4,4,3,3,3,2,3,3,2,2,2,3,2,3,4,3,3,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,1,1,1,1,1,1,无,5.0,30.0,2.0,20.0,7.0,10.0,1200.0,3.0,2.8,3.0,2.78,2.9,3.0,2.92,150.0,40.0,70.0,1200.0,160.0,231.0,1591.0,3
287,19,大一,工程与能源,1,2,4,3,1,4,1,1,2,1,3,2,2,3,1,1,1,3,2,5,2,2,4,4,1,2,2,1,4,4,4,3,3,2,4,4,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,3,4,2,2,2,4,2,2,2,4,3,1,1,1,1,2,1,1,1,1,1,1,1,慢跑,2.0,30.0,4.0,30.0,7.0,40.0,300.0,2.42,2.6,1.64,3.0,2.5,1.7,2.29,60.0,120.0,280.0,480.0,480.0,924.0,1884.0,2
288,18,21,工程与能源,1,2,3,3,2,4,2,2,2,2,2,2,2,2,2,2,3,2,2,3,3,2,2,2,2,3,4,2,3,2,4,4,2,3,3,4,2,3,4,3,2,3,2,3,3,4,3,3,3,3,4,4,3,4,3,2,3,3,3,2,2,2,2,3,3,4,4,1,1,1,1,2,-2,1,跑步，羽毛球,2.0,30.0,5.0,10.0,0.0,,600.0,2.67,2.7,2.73,2.44,2.9,3.1,2.76,60.0,50.0,,480.0,200.0,,,1
290,18,2021级,电气信息类,1,2,3,3,2,4,2,2,1,3,2,2,2,3,3,1,1,3,1,3,2,3,3,3,1,1,3,2,2,3,3,3,3,2,4,3,2,2,3,2,2,4,1,2,4,2,2,2,3,1,2,4,4,4,3,2,2,2,3,2,2,3,2,3,2,2,5,1,1,2,-2,1,1,1,跑步,2.0,30.0,0.0,0.0,7.0,30.0,360.0,2.42,2.5,2.27,2.67,2.5,2.5,2.47,60.0,0.0,210.0,480.0,0.0,693.0,1173.0,2
292,18,大一,工程与能源类,1,2,3,4,2,3,2,2,2,2,1,2,1,2,2,1,1,2,1,4,2,2,2,4,2,4,2,2,3,2,4,2,2,2,3,3,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,4,3,2,3,2,2,2,3,2,1,3,2,2,2,2,1,2,-2,2,-2,1,1,2,跑步,0.0,0.0,0.0,0.0,6.0,120.0,,2.17,2.3,1.91,2.78,2.1,2.0,2.19,0.0,0.0,720.0,0.0,0.0,2376.0,2376.0,2
296,18,大一,管理类,2,2,3,1,1,1,3,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,跑步,3.0,30.0,5.0,20.0,7.0,50.0,,1.42,1.4,1.36,1.44,1.0,1.0,1.27,90.0,100.0,350.0,720.0,400.0,1155.0,2275.0,3
297,18,21,环化与健康,2,2,3,4,1,2,3,4,1,1,2,3,2,4,5,1,2,3,2,3,1,4,2,4,1,4,3,2,4,2,4,1,5,2,3,4,1,2,5,5,3,2,1,3,3,3,2,3,5,2,4,5,2,2,3,1,2,1,2,1,1,2,1,3,3,3,1,1,1,1,1,1,1,1,羽毛球，跑步,3.0,10.0,7.0,20.0,7.0,70.0,720.0,3.08,2.1,2.45,2.67,2.7,2.5,2.6,30.0,140.0,490.0,240.0,560.0,1617.0,2417.0,3
298,18,2021,环化,2,1,3,3,1,4,2,4,2,3,3,2,4,4,5,2,2,3,2,4,4,2,3,3,1,3,4,3,3,3,4,4,5,1,2,2,3,4,2,2,3,4,4,4,3,2,1,1,3,1,1,3,3,4,1,2,2,3,4,3,4,4,1,4,1,2,1,1,1,1,1,1,1,1,排球,1.0,120.0,5.0,10.0,7.0,60.0,360.0,2.33,2.8,2.82,3.33,3.0,2.6,2.79,120.0,50.0,420.0,960.0,200.0,1386.0,2546.0,2
299,20,大一,环化与健康,1,2,4,3,2,4,2,2,2,2,4,2,2,2,2,1,2,2,3,4,2,2,2,4,2,4,2,2,2,2,4,3,2,2,5,3,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,4,3,2,2,2,2,2,3,2,2,2,4,2,3,3,4,1,1,1,1,1,1,1,跑步健身,3.0,20.0,3.0,20.0,7.0,20.0,360.0,2.67,2.4,2.18,2.67,2.6,2.2,2.45,60.0,60.0,140.0,480.0,240.0,462.0,1182.0,2
303,18,大一,工程与能源,1,2,3,4,2,3,2,2,1,1,1,1,2,3,2,1,1,1,1,3,1,2,1,1,1,3,2,1,2,1,2,4,1,1,2,1,1,2,1,1,2,1,2,3,2,1,1,3,1,1,3,1,3,1,1,1,2,1,4,1,4,3,1,1,1,1,1,1,1,1,1,2,-2,2,步道乐跑,5.0,30.0,7.0,10.0,0.0,,,1.58,2.0,1.27,1.67,2.2,1.3,1.66,150.0,70.0,,1200.0,280.0,,,2
305,18,2021,工程与能源,1,1,3,3,2,5,4,4,4,4,3,3,2,2,5,4,4,3,3,4,4,4,4,4,4,4,4,4,4,4,5,5,2,5,4,4,5,5,4,4,4,4,4,3,3,3,3,3,4,4,4,4,4,4,4,3,3,3,4,3,3,3,4,4,4,4,4,1,1,1,1,1,1,1,跑步,3.0,30.0,4.0,20.0,7.0,30.0,240.0,3.75,4.3,4.18,3.56,3.2,3.6,3.77,90.0,80.0,210.0,720.0,320.0,693.0,1733.0,3
306,20,20,土木工程专业,2,2,3,3,2,4,2,2,2,2,3,2,3,3,2,2,2,3,2,3,2,2,2,2,2,3,2,2,2,2,2,3,2,2,2,2,2,2,3,2,2,1,2,2,2,2,2,2,2,2,4,3,3,2,2,2,3,2,3,2,2,3,2,2,3,3,2,1,1,1,1,1,1,1,跑步，羽毛球,2.0,20.0,5.0,60.0,7.0,60.0,480.0,2.25,2.5,1.91,2.33,2.5,2.3,2.29,40.0,300.0,420.0,320.0,1200.0,1386.0,2906.0,2
307,21,大三,土木,2,2,3,3,1,3,3,2,3,2,1,3,3,4,3,1,3,1,1,2,2,3,4,4,1,2,2,1,2,2,3,3,4,1,2,4,3,1,3,1,2,2,3,3,2,2,3,4,1,4,4,4,4,1,2,1,4,3,4,4,3,3,2,2,3,3,1,1,1,1,1,1,1,1,减肥健身,3.0,40.0,5.0,40.0,0.0,,,2.0,2.6,2.45,3.33,3.0,2.0,2.53,120.0,200.0,,960.0,800.0,,,2
310,21,2018级本科生,材料科学与工程,1,1,4,1,1,1,2,3,2,2,1,2,2,2,4,1,1,3,1,2,2,2,2,2,1,2,2,1,1,2,2,2,2,2,1,2,2,2,2,2,1,2,1,2,2,3,2,2,2,1,2,2,2,4,2,4,2,1,3,3,4,2,2,3,4,4,1,1,1,1,1,1,1,1,羽毛球，乒乓球，健身房锻炼,2.0,40.0,5.0,30.0,7.0,30.0,600.0,1.5,2.1,2.0,2.22,2.2,2.5,2.06,80.0,150.0,210.0,640.0,600.0,693.0,1933.0,2
314,20,2020,工程造价,2,2,2,2,2,3,3,2,2,2,2,2,2,2,2,1,1,3,2,2,2,2,1,2,1,2,2,2,2,2,1,2,2,2,2,3,2,2,3,1,1,1,1,2,2,2,1,2,1,2,1,2,1,2,1,1,2,1,2,1,2,2,4,2,2,2,2,2,-2,2,-2,1,1,1,走路,0.0,0.0,0.0,0.0,7.0,45.0,500.0,1.92,1.8,2.0,1.44,2.0,1.8,1.84,0.0,0.0,315.0,0.0,0.0,1039.5,1039.5,2
315,25,研三,管理科学与工程,2,2,3,2,1,4,2,2,1,1,3,2,2,2,2,2,2,2,3,2,2,3,2,2,2,2,3,3,2,2,2,3,2,2,2,3,2,2,2,3,2,2,2,2,2,3,2,2,3,3,2,2,2,2,3,2,1,1,2,2,4,2,2,2,3,3,2,2,-2,2,-2,1,1,1,跑步,0.0,0.0,0.0,0.0,7.0,30.0,400.0,2.67,1.9,2.27,2.0,2.1,2.3,2.23,0.0,0.0,210.0,0.0,0.0,693.0,693.0,2
320,23,2021,管理科学与工程（工程管理）,1,2,2,3,1,3,1,2,2,2,2,2,1,1,1,1,3,3,2,2,3,3,3,2,2,3,2,1,1,2,2,3,2,2,2,2,2,2,4,3,2,2,2,1,2,2,2,1,2,1,1,2,2,4,3,2,1,1,2,2,3,2,2,2,2,2,2,2,-2,2,-2,1,1,1,乒乓球,0.0,0.0,0.0,0.0,5.0,25.0,500.0,1.92,2.0,2.0,2.0,2.1,2.2,2.03,0.0,0.0,125.0,0.0,0.0,412.5,412.5,1
327,17,大一,环化与健康,2,2,3,3,3,3,3,1,1,2,2,3,2,1,1,1,1,3,1,2,2,2,3,1,1,2,1,1,1,1,3,4,4,1,1,3,1,1,2,1,1,1,3,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,跑步,7.0,30.0,5.0,60.0,7.0,70.0,,1.58,1.5,1.36,1.78,1.6,1.3,1.52,210.0,300.0,490.0,1680.0,1200.0,1617.0,4497.0,3
330,19,2020级,风景园林,2,2,4,3,1,4,3,1,1,2,1,2,1,2,1,2,3,2,1,2,2,2,2,3,1,3,1,1,1,1,4,3,2,1,2,3,2,1,3,2,1,1,3,2,2,3,2,2,3,1,3,3,2,2,3,2,3,1,2,2,2,2,2,1,3,3,2,1,1,1,1,1,1,1,跑步 打羽毛球,4.0,60.0,2.0,30.0,7.0,120.0,600.0,2.08,1.8,1.73,2.56,2.2,1.9,2.03,240.0,60.0,840.0,1920.0,240.0,2772.0,4932.0,3
331,22,21级,物流工程与管理,2,2,3,2,3,4,2,3,2,2,2,2,1,1,2,1,1,1,1,2,1,2,3,2,1,3,2,1,2,2,3,2,3,3,2,3,2,3,4,4,2,3,2,2,2,2,2,1,3,1,1,1,2,3,5,2,2,2,4,2,1,2,2,3,3,4,4,2,-2,2,-2,1,1,1,瑜伽,0.0,0.0,0.0,0.0,7.0,60.0,180.0,2.42,2.1,2.0,2.0,2.6,2.2,2.23,0.0,0.0,420.0,0.0,0.0,1386.0,1386.0,2
332,25,研一,物流,2,1,3,3,1,5,3,3,2,1,2,3,2,3,2,1,2,2,2,4,4,3,3,3,2,3,3,3,4,3,5,3,4,4,5,4,3,5,5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,1,1,1,1,1,2,无氧 跑步 椭圆机,6.0,100.0,6.0,0.0,7.0,,,3.25,2.9,3.0,3.22,3.2,2.8,3.06,600.0,0.0,,4800.0,0.0,,,2
333,21,2019级,环境生态工程,2,1,4,1,1,3,2,2,1,2,1,2,1,3,2,1,1,3,1,3,3,2,2,4,1,3,2,1,3,2,2,1,3,1,1,3,1,1,3,1,2,1,1,3,2,3,3,3,3,2,4,4,3,3,3,3,2,2,3,3,3,1,1,1,2,2,3,2,-2,1,1,1,1,1,羽毛球，跑步，走路,0.0,0.0,5.0,40.0,7.0,60.0,480.0,2.0,2.0,1.64,2.56,2.7,2.2,2.16,0.0,200.0,420.0,0.0,800.0,1386.0,2186.0,2
334,20,2020,工程管理,2,2,3,4,3,5,4,4,2,2,3,3,3,3,3,2,3,3,3,4,3,4,2,4,3,3,4,3,5,5,5,2,3,3,5,3,3,2,4,3,3,3,3,3,3,3,3,3,4,3,3,5,3,3,4,2,3,3,3,2,4,3,3,3,4,4,3,2,-2,2,-2,2,-2,2,体育课,0.0,0.0,0.0,0.0,0.0,,,3.75,3.1,2.91,3.22,3.2,3.3,3.26,0.0,0.0,,0.0,0.0,,,1
337,22,研一,管理科学与工程,2,1,4,2,1,2,2,3,1,1,1,2,2,2,1,1,1,3,2,3,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,3,2,1,2,1,2,1,2,2,1,1,1,3,2,2,2,2,2,1,2,2,3,2,3,2,3,2,2,2,1,1,1,1,1,1,1,1,1,1,快走、跑步、瑜伽,3.0,30.0,7.0,50.0,7.0,45.0,480.0,1.92,2.0,1.64,2.0,2.1,1.5,1.85,90.0,350.0,315.0,720.0,1400.0,1039.5,3159.5,3
338,21,研一,管理科学与工程,1,2,3,3,1,2,1,1,1,1,3,1,1,1,1,1,1,3,1,3,1,3,3,2,1,3,1,1,1,1,1,1,1,1,1,1,1,3,3,3,1,1,1,1,1,1,1,1,3,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,-2,1,1,2,篮球 羽毛球,1.0,60.0,0.0,0.0,7.0,20.0,,1.75,1.2,1.36,1.33,1.4,1.2,1.39,60.0,0.0,140.0,480.0,0.0,462.0,942.0,2
339,23,研一,管理科学与工程,2,2,3,2,2,4,3,4,2,2,2,3,2,3,2,2,3,3,3,2,2,2,2,2,2,3,3,2,2,2,3,2,2,3,2,3,2,2,4,3,3,2,2,3,2,3,3,4,3,3,3,3,2,2,3,2,3,2,2,2,3,2,2,2,2,2,4,2,-2,1,1,1,1,1,羽毛球,0.0,0.0,5.0,20.0,3.0,20.0,180.0,2.83,2.4,2.27,2.33,2.9,2.4,2.53,0.0,100.0,60.0,0.0,400.0,198.0,598.0,2
340,23,2021,管理科学与工程,2,2,3,2,2,2,2,2,1,1,3,2,2,1,2,2,3,3,3,3,2,2,2,2,2,4,2,3,2,2,2,2,2,3,3,3,2,3,4,3,2,2,2,2,2,3,2,2,3,2,1,1,2,3,2,1,2,2,2,2,1,2,1,2,3,3,4,2,-2,1,1,1,1,1,走路，慢跑，瑜伽,0.0,0.0,3.0,20.0,7.0,40.0,600.0,2.5,1.9,2.18,1.67,2.5,2.5,2.23,0.0,60.0,280.0,0.0,240.0,924.0,1164.0,2
341,23,2021,物流工程与管理,1,2,3,3,1,3,1,2,2,1,2,2,2,2,1,1,2,3,2,2,3,3,2,2,2,3,2,2,2,2,3,3,2,2,3,3,2,1,4,3,2,1,1,2,2,3,2,3,3,2,3,3,2,1,2,2,3,1,3,2,4,2,3,2,3,3,3,1,1,1,1,1,1,1,羽毛球,1.0,30.0,2.0,30.0,4.0,15.0,200.0,2.33,2.1,2.0,2.11,2.8,2.2,2.26,30.0,60.0,60.0,240.0,240.0,198.0,678.0,2
343,21,2021级,管理科学与工程,2,2,3,3,2,3,2,3,1,2,3,3,3,3,3,2,2,2,3,3,2,2,3,2,3,5,4,3,3,3,2,3,3,2,4,3,2,2,5,4,3,4,2,3,3,4,2,4,4,4,4,2,4,3,3,2,3,3,3,3,3,3,3,3,3,3,3,2,-2,1,1,1,1,2,健身操,0.0,0.0,3.0,30.0,5.0,40.0,,3.25,2.7,2.73,2.44,3.3,3.1,2.94,0.0,90.0,200.0,0.0,360.0,660.0,1020.0,2
346,18,2020,弘深数理,1,2,3,3,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,2,2,4,2,2,2,3,2,2,3,3,2,2,2,2,3,2,2,3,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,2,跑步,3.0,30.0,3.0,20.0,5.0,20.0,,2.33,2.1,2.18,2.22,2.2,2.0,2.18,90.0,60.0,100.0,720.0,240.0,330.0,1290.0,2
355,25,2019,建筑与土木工程,1,1,3,2,1,3,2,2,1,1,2,2,2,2,2,2,2,2,2,3,3,3,2,2,2,3,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,3,3,2,2,2,2,2,4,3,2,3,2,1,2,3,3,2,2,2,1,1,1,1,1,1,1,乒乓球，羽毛球，篮球,2.0,120.0,2.0,180.0,5.0,30.0,300.0,2.25,1.9,2.45,2.22,2.2,1.9,2.16,240.0,360.0,150.0,1920.0,1440.0,495.0,3855.0,3
356,20,大三,工业工程,1,1,3,4,3,5,3,4,2,2,4,3,3,3,3,3,4,3,3,4,3,4,4,3,5,3,4,4,5,4,4,2,2,5,5,5,2,3,4,4,3,4,3,3,4,4,2,4,5,2,4,2,4,5,4,3,3,4,3,3,1,2,4,4,2,2,4,2,-2,2,-2,1,1,2,散步,0.0,0.0,0.0,0.0,1.0,60.0,,4.08,3.3,3.55,3.0,2.8,3.6,3.42,0.0,0.0,60.0,0.0,0.0,198.0,198.0,1
