,序号,年龄,年级,专业,性别,家庭所在地,家庭经济情况,学习成绩,对待体育活动的态度,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,IPAQ_1,IPAQ_2,IPAQ_3,IPAQ_4,IPAQ_5,IPAQ_6,IPAQ_7,运动项目,剧烈运动天数,剧烈运动单日分钟数,适度运动天数,适度运动单日分钟数,步行天数,步行单日分钟数,工作日久坐分钟数,认知,人际,情感,公正,节制,超越,积极心理品质得分,剧烈运动一周分钟数,适度运动一周分钟数,步行一周分钟数,剧烈运动MET,适度运动MET,步行MET,总MET,身体活动水平,类别
60,146,19,大一,工程与能源,0,1,2,2,3,2,2,2,2,2,2,2,2,2,1,3,3,3,2,2,2,3,3,3,3,3,2,2,2,2,3,3,2,2,2,2,2,2,3,3,3,3,3,2,2,2,2,2,3,2,3,3,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,1,1,2,-2,2,-2,2,跑步,6.0,120.0,0.0,0.0,0.0,0.0,,2.83,2.8,2.64,2.44,2.8,2.7,2.71,720.0,0.0,0.0,5760.0,0.0,0.0,5760.0,3,2
61,148,18,大一,环化与健康,0,0,1,1,2,5,3,2,1,2,4,4,2,2,1,1,1,5,2,3,4,3,4,3,2,2,4,5,1,2,2,2,3,4,4,2,1,1,3,4,1,4,5,2,4,2,3,2,2,2,2,4,2,4,3,2,1,1,1,2,1,1,5,4,4,4,3,1,1,1,1,1,1,1,跑步，引体向上，深蹲,4.0,30.0,7.0,30.0,7.0,30.0,480.0,1.75,2.9,2.45,2.22,2.9,1.9,2.34,120.0,210.0,210.0,960.0,840.0,693.0,2493.0,3,2
62,149,18,21,工程与能源,0,1,3,2,2,2,1,3,1,1,2,2,1,2,1,1,1,2,2,3,2,2,1,2,1,1,3,1,2,3,4,1,1,3,2,4,1,2,3,2,3,1,1,2,2,1,1,1,2,1,2,4,4,1,2,1,1,1,1,1,2,2,1,2,1,2,5,1,1,1,1,1,1,1,跑步,4.0,30.0,7.0,60.0,7.0,60.0,300.0,3.25,2.8,3.3600000000000003,3.0,3.2,3.3,3.16,120.0,420.0,420.0,960.0,1680.0,1386.0,4026.0,3,2
63,150,18,大一,工程与能源,0,0,2,3,2,3,3,2,1,2,3,3,1,2,1,1,1,2,3,4,2,2,2,3,1,4,4,2,3,2,3,3,2,4,3,2,2,1,3,4,2,2,1,1,2,1,2,2,4,1,3,4,4,2,3,2,2,1,2,2,1,1,1,2,3,3,2,1,1,1,1,1,1,1,慢跑,3.0,30.0,4.0,20.0,7.0,30.0,250.0,2.0,2.3,3.55,2.78,3.0,2.9,2.74,90.0,80.0,210.0,720.0,320.0,693.0,1733.0,3,2
64,155,18,大一,工程与能源,0,0,2,3,2,5,2,3,3,2,3,2,2,2,1,1,1,2,1,2,2,2,2,2,1,2,2,2,2,2,3,3,3,3,2,4,2,2,3,3,2,1,2,2,2,3,2,2,2,1,2,3,2,2,3,2,2,1,2,2,3,2,1,1,3,3,3,1,1,1,1,1,1,1,长跑,3.0,30.0,7.0,10.0,5.0,10.0,480.0,2.58,2.6,3.45,2.78,2.6,2.9,2.82,90.0,70.0,50.0,720.0,280.0,165.0,1165.0,2,2
65,156,18,大二,生物医学工程,1,0,2,2,3,4,3,2,3,4,1,2,1,1,2,1,3,4,1,3,2,2,2,2,1,4,2,1,2,2,2,3,2,3,4,2,2,2,2,3,2,2,2,2,2,2,1,2,3,4,2,3,4,1,4,1,1,1,1,1,5,2,4,2,2,3,1,1,1,1,1,1,1,1,折返跑、开合跳、高抬腿、跆拳道训练,2.0,70.0,7.0,150.0,5.0,40.0,480.0,2.5,2.2,2.64,3.22,3.0,3.0,2.74,140.0,1050.0,200.0,1120.0,4200.0,660.0,5980.0,3,3
66,158,18,大一,环化与健康,0,0,2,2,3,3,2,2,1,1,1,1,2,3,1,1,3,4,2,4,3,3,1,2,1,2,1,1,2,1,3,1,1,3,3,3,1,2,3,3,2,1,1,2,2,4,1,1,3,2,2,3,2,4,3,1,2,1,2,1,2,2,5,2,4,4,2,1,1,1,1,1,1,2,跑步,4.0,60.0,5.0,10.0,7.0,60.0,,2.92,3.2,2.64,3.1100000000000003,3.1,2.3,2.87,240.0,50.0,420.0,1920.0,200.0,1386.0,3506.0,3,2
67,160,19,大一,工程与能源,0,0,2,2,2,4,3,2,2,2,1,2,2,3,2,2,2,2,2,2,2,3,3,1,2,3,2,3,2,2,1,3,2,3,2,2,2,2,3,2,2,2,2,3,2,3,2,3,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,-2,1,1,1,1,2,跑步、打篮球,0.0,0.0,5.0,40.0,7.0,0.0,,2.67,2.8,3.0,3.0,2.7,2.9,2.84,0.0,200.0,0.0,0.0,800.0,0.0,800.0,2,3
68,162,18,大一,工程与能源,0,0,2,2,3,4,2,2,2,3,2,2,1,4,3,4,4,3,4,4,2,2,4,5,2,5,4,2,4,4,5,5,4,5,5,1,1,1,5,2,2,3,2,4,4,1,2,5,1,1,4,5,4,1,2,2,4,2,4,1,4,4,1,5,1,2,2,1,1,1,1,1,1,1,跑步,2.0,30.0,1.0,30.0,7.0,50.0,300.0,2.08,1.6,2.55,1.44,1.5,2.8,2.02,60.0,30.0,350.0,480.0,120.0,1155.0,1755.0,2,3
69,163,19,大一,工程与能源,0,0,1,3,3,1,2,2,1,3,2,2,1,2,4,2,2,3,2,2,2,2,2,3,1,2,2,2,2,1,2,2,1,1,1,2,2,2,1,3,2,3,2,2,1,3,3,2,4,4,3,4,2,4,3,2,1,2,3,2,2,2,1,3,3,3,3,1,1,1,1,1,1,1,跑步，打羽毛球,4.0,60.0,3.0,10.0,7.0,60.0,300.0,2.83,3.1,2.55,2.67,3.1,2.6,2.81,240.0,30.0,420.0,1920.0,120.0,1386.0,3426.0,3,2
70,164,18,本科生一年级,工程与能源大类,0,0,1,2,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,2,2,3,1,1,2,1,3,1,4,4,1,3,4,1,3,1,1,3,1,1,2,1,3,1,1,1,3,1,1,4,4,1,3,1,1,1,3,1,5,3,1,1,1,2,1,1,1,1,1,1,1,1,慢跑,7.0,30.0,7.0,30.0,7.0,60.0,600.0,2.92,2.9,3.73,2.67,3.4,3.6,3.21,210.0,210.0,420.0,1680.0,840.0,1386.0,3906.0,3,2
71,166,18,2021级,环化与健康,0,1,3,2,3,3,2,2,1,1,4,2,1,3,2,2,2,2,3,3,3,4,2,4,2,4,2,3,3,2,4,2,1,3,2,2,1,2,4,4,2,2,1,2,1,1,1,1,3,1,4,5,3,2,3,2,4,1,2,1,1,2,2,2,1,1,1,1,1,1,1,1,1,1,篮球跑步,4.0,120.0,7.0,60.0,7.0,30.0,540.0,2.25,2.8,2.82,2.33,2.9,3.5,2.76,480.0,420.0,210.0,3840.0,1680.0,693.0,6213.0,3,2
72,171,18,大一,工程与能源类,1,1,3,3,2,2,2,3,2,1,1,2,2,2,1,3,4,1,1,4,3,2,4,2,2,1,3,1,1,3,3,4,1,2,1,3,4,4,1,1,2,1,1,1,1,4,1,1,2,2,4,3,4,3,3,2,2,1,3,2,1,1,1,1,3,3,3,2,-2,1,1,1,1,1,慢跑,0.0,0.0,5.0,20.0,4.0,60.0,420.0,3.5,1.9,2.73,2.78,3.4,2.7,2.85,0.0,100.0,240.0,0.0,400.0,792.0,1192.0,2,3
73,178,18,大一,工程与能源类,1,1,2,2,3,3,2,2,1,1,2,2,2,2,1,1,2,3,3,2,2,2,2,1,1,3,3,1,1,1,2,2,2,2,2,2,1,2,3,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,3,2,2,2,2,2,2,3,2,1,1,1,1,1,1,1,跑步 骑车,4.0,20.0,5.0,30.0,7.0,60.0,300.0,2.92,3.4,3.27,3.1100000000000003,2.7,2.8,3.03,80.0,150.0,420.0,640.0,600.0,1386.0,2626.0,3,2
74,180,18,21级,生化类,0,0,1,2,3,3,3,3,2,2,3,3,2,2,3,2,2,2,2,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,1,1,1,1,1,1,跑步，引体向上,3.0,30.0,7.0,30.0,7.0,50.0,360.0,2.08,2.2,2.18,2.22,2.1,2.1,2.15,90.0,210.0,350.0,720.0,840.0,1155.0,2715.0,3,2
75,184,19,2020级,软件工程,1,1,2,2,2,3,3,3,2,1,2,3,2,2,2,1,1,3,2,2,2,2,2,2,2,3,3,2,3,3,3,2,2,2,2,3,2,2,3,2,2,2,2,3,3,2,1,3,3,3,3,3,3,2,3,2,3,2,2,2,1,2,2,2,1,1,1,1,1,1,1,1,1,1,跑步,2.0,20.0,7.0,60.0,7.0,60.0,200.0,2.42,2.7,3.0,2.78,2.9,2.9,2.77,40.0,420.0,420.0,320.0,1680.0,1386.0,3386.0,3,3
76,185,18,大一,工程与能源大类,0,1,2,2,1,3,3,2,2,2,2,3,2,3,2,2,1,3,2,2,2,2,3,1,3,3,2,3,1,2,1,3,2,2,3,2,3,3,2,4,3,3,2,3,2,3,4,3,3,1,3,2,3,3,3,2,3,3,2,3,3,2,2,3,3,2,3,2,-2,2,-2,1,1,2,羽毛球,0.0,0.0,0.0,0.0,7.0,60.0,,2.25,2.6,2.91,2.89,2.3,2.3,2.53,0.0,0.0,420.0,0.0,0.0,1386.0,1386.0,2,3
77,187,21,2019,测绘工程,0,1,1,3,3,4,2,2,2,2,2,2,2,4,2,2,2,3,3,3,3,2,3,2,2,2,2,2,2,2,3,3,3,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,2,2,2,2,2,2,1,1,1,1,1,1,1,长跑,4.0,40.0,2.0,20.0,7.0,60.0,480.0,2.75,2.8,2.91,2.44,2.6,2.9,2.74,160.0,40.0,420.0,1280.0,160.0,1386.0,2826.0,3,2
78,191,18,2021,工程与能源,1,0,2,1,1,4,3,3,2,2,2,3,3,3,2,2,2,2,2,4,2,4,4,4,2,4,3,2,4,3,4,3,3,3,4,4,3,2,3,3,3,3,3,4,4,3,3,3,4,3,3,4,4,3,3,3,2,2,3,2,2,3,2,3,3,3,3,2,-2,2,-2,1,1,2,滑板,0.0,0.0,0.0,0.0,7.0,60.0,,1.92,2.0,2.36,1.67,2.0,2.2,2.03,0.0,0.0,420.0,0.0,0.0,1386.0,1386.0,2,3
79,196,18,大一,生化,0,1,2,3,2,2,2,3,1,2,2,2,3,2,2,2,2,3,3,3,2,2,1,2,1,4,2,2,2,1,2,2,1,3,1,3,1,1,5,2,2,2,1,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,-2,1,1,1,1,1,跑步,0.0,0.0,7.0,10.0,7.0,30.0,500.0,3.0,3.0,3.0,3.22,2.6,3.3,3.02,0.0,70.0,210.0,0.0,280.0,693.0,973.0,2,3
80,197,18,大一,数学与物理专业,0,0,2,2,2,3,2,2,1,1,1,1,1,1,3,2,2,1,1,1,2,1,3,3,1,3,2,1,1,3,3,2,2,3,1,3,1,1,2,2,1,1,2,1,1,2,3,3,2,1,3,2,1,1,1,3,1,1,3,3,5,2,2,1,2,1,4,1,1,1,1,1,1,1,跑步,3.0,120.0,3.0,120.0,4.0,60.0,300.0,3.42,3.2,3.27,2.56,2.5,3.7,3.13,360.0,360.0,240.0,2880.0,1440.0,792.0,5112.0,3,2
81,199,19,大一,环化与健康,1,1,3,3,1,4,3,3,1,2,3,3,1,1,1,1,1,1,3,3,1,1,1,1,1,1,1,1,4,1,1,1,1,1,4,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,跑步，走路，羽毛球，跳舞,3.0,60.0,5.0,60.0,7.0,60.0,,2.58,3.5,4.0,4.0,3.7,4.0,3.6,180.0,300.0,420.0,1440.0,1200.0,1386.0,4026.0,3,2
82,201,18,大一,工程能源,0,0,1,2,2,2,2,2,2,2,3,1,2,2,1,1,2,2,2,2,3,3,2,3,2,2,3,2,1,2,3,3,3,3,1,2,2,3,2,2,1,2,2,2,2,2,2,2,3,2,3,4,2,4,3,2,2,3,2,3,3,3,4,3,4,4,3,1,1,1,1,1,1,1,跑步,2.0,15.0,0.0,0.0,0.0,0.0,,3.0,2.7,2.64,2.33,2.7,2.3,2.63,30.0,0.0,0.0,240.0,0.0,0.0,240.0,1,2
83,203,21,大三,土木工程,0,1,2,2,2,3,2,2,2,2,2,2,3,2,2,2,2,3,3,3,2,2,3,3,2,2,2,3,2,3,3,3,3,3,2,3,3,2,2,2,2,2,2,2,3,3,2,3,2,3,2,3,2,3,3,2,3,3,2,3,2,3,2,3,3,2,4,1,1,1,1,1,1,1,羽毛球,2.0,90.0,3.0,90.0,7.0,40.0,360.0,2.58,2.5,2.73,2.33,2.5,2.4,2.52,180.0,270.0,280.0,1440.0,1080.0,924.0,3444.0,3,2
84,204,19,大一,环化与健康,0,0,1,2,3,3,3,3,2,2,2,3,2,4,3,2,2,3,3,3,2,2,3,2,2,4,3,1,3,3,4,3,2,2,4,3,3,2,4,4,4,3,2,4,4,3,3,4,4,3,2,4,4,3,4,3,3,2,4,2,1,3,2,3,2,3,5,1,1,1,1,1,1,2,跑步,5.0,30.0,7.0,30.0,7.0,60.0,,1.83,2.3,2.55,2.0,1.7999999999999998,2.1,2.1,150.0,210.0,420.0,1200.0,840.0,1386.0,3426.0,3,2
85,207,18,大一,工程与能源类,1,0,2,2,2,3,3,4,2,2,2,3,3,3,2,2,2,2,2,2,3,2,3,3,1,3,2,2,2,2,3,2,3,2,2,2,2,2,3,4,3,2,2,2,3,3,2,3,4,2,3,3,3,1,4,2,3,2,3,2,2,3,2,3,3,4,2,1,1,1,1,1,1,1,慢跑、仰卧起坐,2.0,30.0,2.0,20.0,7.0,30.0,300.0,2.17,2.6,2.82,2.33,2.4,2.6,2.48,60.0,40.0,210.0,480.0,160.0,693.0,1333.0,2,2
86,208,19,大一,工程与能源,0,1,3,4,2,3,2,1,2,2,3,1,1,3,1,1,1,1,2,2,2,1,2,3,2,1,1,1,1,2,2,3,3,2,1,2,2,1,1,1,1,1,1,1,1,1,1,1,3,1,3,2,2,1,1,2,1,1,3,1,3,2,1,1,1,1,4,2,-2,1,1,1,1,1,跑步,0.0,0.0,7.0,60.0,7.0,30.0,600.0,3.33,2.9,3.82,3.0,3.1,3.9,3.35,0.0,420.0,210.0,0.0,1680.0,693.0,2373.0,2,3
87,211,18,大一,数理专业,0,0,2,3,3,4,2,2,3,2,1,1,1,3,1,1,1,1,1,1,3,4,4,1,1,2,1,1,1,1,1,3,3,3,1,1,3,3,1,1,1,1,3,3,3,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,3,3,1,3,1,1,3,1,1,2,-2,1,1,1,跑步,3.0,60.0,0.0,0.0,2.0,30.0,300.0,3.67,2.8,3.18,3.0,3.1,3.8,3.27,180.0,0.0,60.0,1440.0,0.0,198.0,1638.0,3,2
88,214,18,大一,工程与能源,0,0,2,2,3,2,2,2,2,2,2,2,3,2,4,2,2,3,2,1,3,2,1,2,1,2,2,1,1,1,3,2,1,1,1,3,1,1,1,2,1,3,1,3,2,3,2,3,3,4,3,3,3,3,3,3,3,1,2,2,1,2,2,3,4,3,2,1,1,1,1,1,1,1,羽毛球,3.0,30.0,7.0,30.0,7.0,100.0,250.0,3.0,3.2,2.36,2.89,3.0,2.7,2.85,90.0,210.0,700.0,720.0,840.0,2310.0,3870.0,3,3
89,216,18,2021,数学与物理,0,1,2,2,3,4,2,2,1,3,3,2,4,2,2,2,2,2,2,1,4,3,4,4,4,3,3,2,2,3,4,3,5,3,1,2,4,4,5,1,2,2,2,3,2,2,1,3,4,1,2,5,2,1,2,1,2,2,4,2,3,2,4,2,1,2,4,1,1,1,1,1,1,1,篮球，跑步，排球,3.0,120.0,2.0,10.0,4.0,20.0,,2.67,2.6,2.45,2.11,1.6,2.9,2.4,360.0,20.0,80.0,2880.0,80.0,264.0,3224.0,3,2
90,217,18,大一,环化与健康,0,1,3,3,2,4,2,3,2,2,4,2,3,2,3,3,3,1,3,2,2,3,3,3,2,4,2,2,2,2,3,2,3,4,2,3,2,2,4,4,2,2,3,3,2,3,2,3,3,3,3,4,2,2,3,3,3,2,3,2,1,2,3,3,3,3,2,1,1,1,1,1,1,2,跑步,3.0,30.0,5.0,30.0,7.0,175.0,,2.17,2.6,2.27,2.22,2.2,2.8,2.37,90.0,150.0,1225.0,720.0,600.0,4042.5,5362.5,3,3
91,221,18,21级,工能,0,1,2,3,3,2,2,3,1,1,2,3,1,2,2,2,3,1,2,1,3,3,3,3,1,4,2,1,1,1,3,3,4,3,1,3,1,2,4,5,1,1,1,2,1,3,2,2,4,2,3,2,1,1,4,2,1,1,1,1,1,2,2,2,3,2,3,1,1,1,1,1,1,1,跑步 打球 仰卧起坐,2.0,60.0,5.0,5.0,7.0,60.0,720.0,2.58,3.2,2.73,2.89,2.7,3.4,2.9,120.0,25.0,420.0,960.0,100.0,1386.0,2446.0,2,2
92,222,18,大一,生化类,0,1,2,3,3,2,2,2,1,2,2,2,1,1,2,1,2,2,2,1,2,2,2,1,2,2,1,1,1,1,1,1,2,2,1,2,1,2,2,2,1,1,1,1,1,2,2,2,2,2,2,2,2,1,2,2,1,2,2,2,1,1,2,2,2,2,2,1,1,1,1,1,1,1,健身，跑步,4.0,40.0,7.0,40.0,7.0,60.0,540.0,3.25,3.5,3.18,3.56,3.4,3.4,3.37,160.0,280.0,420.0,1280.0,1120.0,1386.0,3786.0,3,2
93,224,20,大一,工程与能源大类,1,0,1,2,2,3,2,2,1,1,2,2,2,3,2,1,3,2,2,2,2,3,2,4,1,1,2,1,2,2,3,1,2,2,3,3,1,2,2,2,2,2,2,1,1,3,1,1,2,2,1,3,3,2,2,2,1,2,2,2,2,2,2,3,3,2,1,1,1,2,-2,1,1,1,跑步,2.0,20.0,0.0,0.0,7.0,40.0,200.0,3.0,3.4,2.73,2.44,3.5,3.0,3.02,40.0,0.0,280.0,320.0,0.0,924.0,1244.0,2,3
94,228,19,大一,工程与能源,0,0,2,2,2,2,2,4,1,1,1,3,2,3,1,1,2,4,2,2,1,1,1,5,1,5,2,2,5,1,5,2,1,1,2,5,1,1,5,4,4,1,1,2,1,2,2,1,2,1,2,5,5,1,2,1,2,1,1,1,2,3,1,1,1,1,1,1,1,1,1,1,1,2,跑步，爬楼梯，引体向上,2.0,30.0,5.0,30.0,7.0,120.0,,2.67,3.0,3.55,2.22,2.7,3.2,2.9,60.0,150.0,840.0,480.0,600.0,2772.0,3852.0,3,3
95,231,19,2021级,工程与能源,1,0,1,2,3,3,3,3,1,2,3,3,2,3,3,2,2,3,3,3,2,2,2,3,2,2,3,2,2,2,3,2,2,3,2,3,2,2,3,3,2,2,2,2,3,3,2,2,3,2,2,3,3,3,3,2,2,2,2,2,2,2,3,2,3,3,3,1,1,1,1,1,1,2,跑步,3.0,20.0,1.0,20.0,5.0,30.0,,2.33,2.7,2.73,2.56,2.8,2.3,2.56,60.0,20.0,150.0,480.0,80.0,495.0,1055.0,2,2
97,240,18,大一,环化与健康,0,1,3,3,1,5,3,3,1,1,2,4,3,3,1,2,1,1,1,3,3,1,1,3,1,3,3,1,1,1,5,1,1,3,3,3,3,2,5,3,2,1,1,3,2,1,1,3,5,3,3,5,3,1,2,1,3,1,1,3,1,3,1,3,1,3,3,1,1,1,1,1,1,1,打wota艺,3.0,15.0,4.0,60.0,7.0,20.0,240.0,2.25,2.8,3.09,2.22,2.6,3.4,2.73,45.0,240.0,140.0,360.0,960.0,462.0,1782.0,3,3
99,246,17,21级,法学与新闻类,1,1,2,2,2,2,2,3,1,2,1,2,2,2,2,1,1,1,1,2,2,2,2,2,1,2,2,1,2,1,3,2,3,2,2,3,2,2,3,3,2,2,1,2,2,3,3,3,3,2,2,2,2,2,2,1,1,1,2,1,2,1,1,1,2,3,2,1,1,1,1,1,1,2,跑步,3.0,20.0,5.0,60.0,7.0,180.0,,3.0,3.1,3.27,3.33,2.8,3.1,3.1,60.0,300.0,1260.0,480.0,1200.0,4158.0,5838.0,3,3
100,248,18,2021级,法新,1,0,1,2,2,3,2,3,2,2,2,3,1,1,2,2,3,3,2,3,2,3,2,3,1,3,1,1,1,2,3,2,1,2,1,3,3,2,4,3,3,2,2,2,2,3,1,1,3,2,2,4,2,1,4,2,2,1,1,2,2,2,4,2,3,3,3,1,1,1,1,1,1,1,爬楼，跑步,2.0,12.0,7.0,10.0,7.0,30.0,600.0,2.83,2.7,2.55,2.67,3.0,2.9,2.77,24.0,70.0,210.0,192.0,280.0,693.0,1165.0,2,3
101,249,20,2019级,生物工程,0,0,2,2,3,3,2,3,2,2,1,2,2,3,2,2,2,2,2,3,2,2,2,1,2,3,2,1,2,2,2,4,3,2,2,2,2,1,2,2,2,2,2,3,3,3,2,2,2,2,2,3,4,2,2,2,3,2,2,2,2,2,2,2,3,3,2,1,1,1,1,1,1,1,跑步，俯卧撑,3.0,40.0,4.0,60.0,7.0,180.0,240.0,3.08,2.4,3.09,2.89,2.6,2.6,2.79,120.0,240.0,1260.0,960.0,960.0,4158.0,6078.0,3,3
102,250,19,2021级,环境,0,0,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,3,3,3,3,3,3,3,3,3,3,3,4,4,1,1,1,1,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,1,1,1,3,1,1,1,1,1,1,1,拳击,4.0,60.0,7.0,30.0,7.0,30.0,360.0,2.33,2.3,2.73,1.89,2.2,2.4,2.32,240.0,210.0,210.0,1920.0,840.0,693.0,3453.0,3,2
103,251,19,2021,环境类,1,1,2,2,2,3,3,3,1,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,1,3,3,1,2,2,3,3,3,2,2,4,1,2,3,3,3,3,1,3,3,3,3,3,4,2,2,2,4,3,4,3,2,2,4,3,2,2,2,2,3,3,4,1,1,1,1,1,1,2,跑步、跳舞、练旗,6.0,60.0,7.0,30.0,7.0,30.0,,2.42,2.7,2.55,2.56,2.1,2.4,2.45,360.0,210.0,210.0,2880.0,840.0,693.0,4413.0,3,2
104,254,18,2021,工程与能源类,1,0,2,3,3,4,1,3,2,2,1,3,4,2,2,2,2,1,1,1,3,2,4,4,2,2,2,1,2,2,3,3,2,1,1,3,2,1,2,3,2,2,2,1,2,2,2,1,2,2,4,4,2,1,3,2,1,2,1,2,1,1,2,1,3,3,1,1,1,1,1,1,1,2,跑步,1.0,25.0,5.0,15.0,7.0,60.0,,3.08,2.8,3.0,2.33,3.3,3.0,2.94,25.0,75.0,420.0,200.0,300.0,1386.0,1886.0,2,3
106,260,18,大一,数学与物理类,0,1,2,2,3,2,1,2,1,1,2,1,2,2,3,1,2,2,1,2,2,3,1,2,1,2,1,1,1,1,2,2,2,2,1,2,1,2,3,1,1,3,2,1,1,1,2,2,1,1,2,2,2,2,2,2,1,2,3,2,2,1,1,3,3,1,2,1,1,1,1,1,1,1,足球，跑步,3.0,20.0,7.0,30.0,7.0,40.0,400.0,3.67,3.4,2.91,3.22,3.0,3.5,3.29,60.0,210.0,280.0,480.0,840.0,924.0,2244.0,3,3
107,263,18,大一,法学与新闻,1,1,2,3,2,4,2,2,1,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,4,3,3,3,2,4,2,2,2,3,4,2,2,3,2,2,2,2,3,3,3,2,3,3,2,2,4,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,慢跑,2.0,20.0,4.0,20.0,7.0,60.0,270.0,2.42,3.0,2.82,2.56,2.5,2.7,2.66,40.0,80.0,420.0,320.0,320.0,1386.0,2026.0,2,3
108,265,19,2021,工能,0,0,2,2,1,4,2,2,2,3,4,2,2,2,2,2,2,2,4,4,2,2,2,2,2,4,4,2,2,2,4,2,2,2,4,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,2,跑步,3.0,20.0,4.0,20.0,7.0,30.0,,2.33,2.7,2.82,2.78,2.8,2.8,2.69,60.0,80.0,210.0,480.0,320.0,693.0,1493.0,2,2
110,267,18,2021级,工程与能源,0,0,2,2,2,4,3,2,2,3,3,2,2,3,3,1,2,1,1,3,1,2,2,3,1,2,3,2,3,3,3,3,3,3,3,3,2,3,3,3,2,3,2,3,3,2,3,3,3,3,2,3,3,4,2,2,2,1,3,2,2,3,3,3,3,3,3,1,1,1,1,1,1,1,跑步和热身锻炼,2.0,30.0,3.0,60.0,7.0,100.0,600.0,2.33,2.4,2.55,2.44,2.4,2.7,2.47,60.0,180.0,700.0,480.0,720.0,2310.0,3510.0,3,3
111,269,18,大一,工程与能源,1,0,2,3,2,5,2,2,1,1,1,1,2,2,1,1,1,2,1,2,2,2,3,2,1,1,2,1,2,2,1,3,3,2,2,3,3,2,3,2,2,1,1,3,2,2,3,3,3,1,2,2,3,1,1,2,3,1,3,2,3,2,1,1,1,1,3,2,-2,1,1,1,1,2,走路,0.0,0.0,2.0,40.0,7.0,60.0,,3.0,2.9,3.55,3.1100000000000003,2.3,3.5,3.06,0.0,80.0,420.0,0.0,320.0,1386.0,1706.0,2,3
112,272,19,大一,环化与健康类,0,1,2,2,3,3,3,2,3,3,3,3,1,3,3,1,1,2,2,5,2,3,3,3,3,1,2,2,3,2,2,3,3,3,3,2,3,2,1,3,1,3,1,1,2,1,2,3,3,2,3,3,2,2,3,3,3,2,2,2,2,2,2,3,1,1,3,1,1,1,1,1,1,1,跑步，羽毛球,6.0,30.0,7.0,10.0,7.0,30.0,240.0,2.17,2.1,2.82,2.56,3.1,3.3,2.66,180.0,70.0,210.0,1440.0,280.0,693.0,2413.0,3,2
113,275,18,大一,工程能源,0,1,2,2,2,4,1,4,1,2,3,3,1,3,2,1,1,3,2,2,4,2,2,3,1,3,1,1,1,1,4,2,1,2,1,4,2,1,1,1,1,1,1,2,2,4,1,3,1,4,3,4,3,3,1,1,3,1,3,1,4,3,1,1,2,2,1,1,1,1,1,1,1,1,长跑,2.0,40.0,1.0,60.0,7.0,120.0,300.0,3.17,2.8,3.0,2.56,3.0,3.0,2.94,80.0,60.0,840.0,640.0,240.0,2772.0,3652.0,3,3
114,278,20,2020,建筑工程,0,1,3,2,2,5,2,2,1,2,1,2,1,1,1,1,2,2,2,3,2,1,1,2,1,5,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,吃饭睡觉打游戏,1.0,15.0,7.0,10.0,7.0,30.0,420.0,2.83,3.0,3.27,3.22,2.8,3.0,3.02,15.0,70.0,210.0,120.0,280.0,693.0,1093.0,2,3
115,282,18,2021级,工程与能源大类,1,1,3,4,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,5,1,1,2,1,1,1,1,1,1,1,1,1,3,1,1,5,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,2,1,1,1,1,1,3,1,1,1,2,1,1,1,1,1,1,1,跑步,3.0,20.0,7.0,40.0,7.0,60.0,550.0,3.83,3.9,3.55,3.56,3.3,4.0,3.69,60.0,280.0,420.0,480.0,1120.0,1386.0,2986.0,3,3
